layer;mean_gini_channel;sd_gini_channel;corr_beauty_VS_metric;pvalue;
input_3;0.1608487888857959;0.03768447957604873;0.2746545850422667;0.2746545850422667;
conv1_1;0.7122757393506689;0.004656652196968216;0.1379871785715256;0.1379871785715256;
conv1_2;0.7865766696680553;0.006356219839469696;-0.2417328143989601;-0.2417328143989601;
pool1;0.7794556434869498;0.007091059289332541;-0.23352087630564455;-0.23352087630564455;
conv2_1;0.6739473170995018;0.007025527980147798;0.2529375694907876;0.2529375694907876;
conv2_2;0.7129260048003477;0.0014883794401438324;-0.2552475398872552;-0.2552475398872552;
pool2;0.6727370100757516;0.004999995659073062;-0.15212452588729536;-0.15212452588729536;
conv3_1;0.6749165782341013;0.002044409052067353;-0.08272072370287438;-0.08272072370287438;
conv3_2;0.7059360017158436;0.0020741334517737505;0.007097561612889388;0.007097561612889388;
conv3_3;0.9030609863060355;0.0038341827230590955;-0.10258799306040758;-0.10258799306040758;
pool3;0.8370119762151376;0.00955108868951119;-0.11218913432452751;-0.11218913432452751;
conv4_1;0.8093637229937193;0.006817349178617935;0.18729350262302222;0.18729350262302222;
conv4_2;0.8984188868362164;0.0015485863346150596;0.3601815739940502;0.3601815739940502;
conv4_3;0.9643514392779319;0.0008133333472946315;-0.04468635979315015;-0.04468635979315015;
pool4;0.9284356513571482;0.0024882283422250624;-0.16463454473634875;-0.16463454473634875;
conv5_1;0.9059906250476748;0.002849816224402709;0.3908269028570197;0.3908269028570197;
conv5_2;0.9215182177027418;0.0017146534182539467;0.26222649083045096;0.26222649083045096;
conv5_3;0.9656897492298346;0.0017931187257220545;-0.2546949385099166;-0.2546949385099166;
pool5;0.934885952268403;0.0034090850286607986;-0.24510693761437208;-0.24510693761437208;
flatten;0.9409810333537955;0.003276237690220803;-0.21693631594877477;-0.21693631594877477;
fc6/relu;0.8850289667519666;0.00800028394029905;0.08233993630522086;0.08233993630522086;
fc7/relu;0.952142219108365;0.006108758607196348;-0.08561326271284911;-0.08561326271284911;

##############
bdd_is: CFD
weights are: vggface
metric_is: gini_channel
time : 1037.3977620045343 minutes