layer;mean_L1;sd_L1;corr_beauty_VS_metric;pvalue;
block1_conv1;49097741.188739605;9314694.295556078;-0.016188120398951903;0.5224821698890905;
block1_conv2;187389151.32949457;34107949.613530405;-0.0038100461302132574;0.8803627123063269;
block1_pool;69402951.865643;14332890.380689573;0.037562735698336895;0.13771057609401732;
block2_conv1;166038461.06717852;33098828.186081655;0.020721777150535255;0.41297831909149596;
block2_conv2;157452283.0505438;36394439.55441129;0.03473929365235822;0.16983742176682767;
block2_pool;73507006.90083173;18277264.424378533;0.04443872754512123;0.07903070273129205;
block3_conv1;122309273.53806782;25432019.80172293;0.0022972848971389323;0.9276911249517901;
block3_conv2;147053524.3787588;27923071.853148017;0.0065517191864790285;0.7957768845869049;
block3_conv3;64345165.89507358;15100580.517622879;-0.024536356413916716;0.33234082234296736;
block3_pool;32368342.607165705;8144109.572682258;-0.02237409380780144;0.37671878917826007;
block4_conv1;30023349.376199618;5384079.065170671;-0.019538923489909283;0.44016002605301363;
block4_conv2;15738944.17306462;3153276.090581404;-0.013729912826545483;0.5875425783119836;
block4_conv3;3733671.982165707;973410.28970842;-0.06733613206475693;0.007744438603351872;
block4_pool;2034361.8514075496;571523.0405266415;-0.0735354891220342;0.003627917713547922;
block5_conv1;1035005.8845369482;211594.35635011515;0.026799848752336052;0.28965942698978775;
block5_conv2;591817.9403290947;141225.96450563899;-0.09845990540625543;9.660882171449629e-05;
block5_conv3;60665.21749040307;16023.277359177595;-0.08705679674176729;0.0005698726629929914;
block5_pool;31624.066178822777;8636.02333820142;-0.08729323907466265;0.0005503824470609497;
flatten;31624.066178822777;8636.02333820142;-0.08729323907466265;0.0005503824470609497;
fc1;1827.5548587342676;536.6926915551342;-0.09225468920911882;0.0002600611684369349;
drop_fc1;1827.5548587342676;536.6926915551342;-0.09225468920911882;0.0002600611684369349;
fc2;1398.6075273490608;248.38652530785743;-0.1759622930712669;2.4558170642004077e-12;
drop_fc2;1398.6075273490608;248.38652530785743;-0.1759622930712669;2.4558170642004077e-12;

##############
bdd;JEN
weights;vggplace
metric;L1
time;30.805223417282104;minutes