layer;corr_L1_vs_TR;corr_L1_vs_Gini;corr_L1_vs_Kurtosis;corr_TR_vs_Gini;corr_TR_vs_Kurtosis;corr_Gini_vs_Kurtosis;
input_1;-0.8610200887394687;-0.5761667988536772;0.7200597519470613;0.33626450061670105;-0.5492596072370999;-0.9457219041541004;
conv1_1;-0.9098039842429766;-0.8961203055665667;-0.9396101890855362;0.9892736943424513;0.9289049944260067;0.8793826709470436;
conv1_2;-0.5959685491263681;-0.25506374776843166;-0.9453021372654199;0.8994343415614279;0.5730321557880417;0.177846064530301;
pool1;-0.5223089416937519;-0.10127357253563966;-0.9385503842255845;0.8792025618268099;0.4897674791307055;0.025734821855505036;
conv2_1;-0.8176158363525673;-0.8470114913627391;-0.3373557848699203;0.9901561673419779;0.7275801366764519;0.6308935889901268;
conv2_2;-0.5023226584333604;-0.17515436577741525;0.37265876493596883;0.6794656314003241;0.3652035113386558;0.6762763145786888;
pool2;-0.32571831587126177;-0.014652668710276394;0.5135430348058246;0.9075059391529653;0.33369208633458464;0.3445000847859906;
conv3_1;0.6888876087965433;0.7014619125999616;0.15519760932583587;0.9340744927991808;0.6576522599972826;0.39423208040742613;
conv3_2;0.08349670454363693;0.5027521996818539;-0.4343899388307118;0.8527399480723986;0.7451561079258354;0.3054992666145522;
conv3_3;-0.4400558708968092;-0.4819605843729282;-0.33661900068084044;0.9752924860653837;0.8569967782726493;0.7483732245422043;
pool3;-0.6152456925718484;-0.6802451806439285;-0.39977032208807284;0.9796985790748647;0.8352639035776819;0.7334969390903592;
conv4_1;-0.5353282059159505;-0.035435129805487825;-0.7087481466165264;0.7128842603132446;0.7151068731831576;0.05625000767842076;
conv4_2;-0.30778169291621515;-0.05196287928825333;-0.49651941254050186;0.8686765243706025;0.6990490239149327;0.2781146219641508;
conv4_3;-0.4058379462379578;-0.204581823244276;-0.548121171268902;0.9257570501022615;0.7746977335556029;0.5103739042905335;
pool4;-0.5921956966838161;-0.5405295017049568;-0.6422104466653159;0.9805864872026134;0.8011263307264851;0.6840278898914527;
conv5_1;0.13154283691944987;0.16670156591074373;-0.016526368847046106;0.942878366107876;0.5286532886034939;0.24236976864554957;
conv5_2;-0.06527209009528648;-0.10168284079130367;-0.04332621398007511;0.9602705441519306;0.6675602139648042;0.46464873211095825;
conv5_3;-0.4299064246655963;-0.6043940923314406;0.009056692223252566;0.9391115086018476;0.7293790083114393;0.48072388000376104;
pool5;-0.46929855658956965;-0.6216700414608717;-0.005865439118366281;0.9413224176973732;0.6966498882337412;0.44446735831024836;
flatten;-0.46929855658956965;-0.6216700414608717;-0.005865439118366281;0.9413224176973732;0.6966498882337412;0.44446735831024836;
fc6/relu;-0.4820894679580036;-0.4916504873384946;-0.35789938582936304;0.991350380092885;0.8492304592092629;0.7765754957169617;
fc7/relu;-0.7839464042342588;-0.7679094313104745;-0.6972385847903526;0.993065458167682;0.8256702039190347;0.7617256579708661;

##############
time : 62.48285588820775 minutes